"VagrantIDNumber","GenderofLeadVagrant","RelationshiptoLeadVagrant","NumberofPeopleinGroup","PersonType","VagrantCategory","SessionStartYear","SessionStartMonth","SettlementCounty","SettlementCountry"
"10113.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10114.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1785,12,"Surrey","England"
"10115.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1785,12,"Lancashire","England"
"10116.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1785,12,"Warwickshire","England"
"10117.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Lancashire","England"
"10118.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1785,12,"Dublin","Ireland"
"10119.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Waterford","Ireland"
"1012.1.3","F","[lead vagrant]",3,"Group Leader","Middlesex Vagrant",1779,12,"Durham","England"
"1012.2.3","[unknown]","[Child]",3,"Dependent","Middlesex Vagrant",1779,12,"Durham","England"
"1012.3.3","[unknown]","[Child]",3,"Dependent","Middlesex Vagrant",1779,12,"Durham","England"
"10120.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Tipperary","Ireland"
"10121.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Wexford","Ireland"
"10122.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"King's County","Ireland"
"10123.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10124.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Somerset","England"
"10125.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10126.1.3","M","[lead vagrant]",3,"Group Leader","Middlesex Vagrant",1785,12,"[unknown]","Ireland"
"10126.2.3","[unknown]","[Wife]",3,"Dependent","Middlesex Vagrant",1785,12,"[unknown]","Ireland"
"10126.3.3","[unknown]","[Child]",3,"Dependent","Middlesex Vagrant",1785,12,"[unknown]","Ireland"
"10127.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Northumberland","England"
"10128.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Oxfordshire","England"
"10129.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Cork","Ireland"
"1013.1.2","M","[lead vagrant]",2,"Group Leader","Passing Vagrant",1779,12,"Hampshire","England"
"1013.2.2","F","[Wife]",2,"Dependent","Passing Vagrant",1779,12,"Hampshire","England"
"10130.1.1","M","[lead vagrant]",1,"Solo Male","Westminster Vagrant",1785,12,"Westmeath","Ireland"
"10131.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10132.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10133.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Worcestershire","England"
"10134.1.2","F","[lead vagrant]",2,"Group Leader","City Vagrant",1785,12,"Berkshire","England"
"10134.2.2","[unknown]","[Child]",2,"Dependent","City Vagrant",1785,12,"Berkshire","England"
"10135.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10136.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Warwickshire","England"
"10137.1.2","F","[lead vagrant]",2,"Group Leader","City Vagrant",1785,12,"Monmouthshire","Wales"
"10137.2.2","[unknown]","[Child]",2,"Dependent","City Vagrant",1785,12,"Monmouthshire","Wales"
"10138.1.3","F","[lead vagrant]",3,"Group Leader","City Vagrant",1785,12,"Buckinghamshire","England"
"10138.2.3","[unknown]","[Wife]",3,"Dependent","City Vagrant",1785,12,"Buckinghamshire","England"
"10138.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1785,12,"Buckinghamshire","England"
"10139.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Cornwall","England"
"1014.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1779,12,"Middlesex","England"
"10140.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Mayo","Ireland"
"10141.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Derbyshire","England"
"10142.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Yorkshire","England"
"10143.1.2","M","[lead vagrant]",2,"Group Leader","City Vagrant",1785,12,"Armagh","Ireland"
"10143.2.2","F","[Wife]",2,"Dependent","City Vagrant",1785,12,"Armagh","Ireland"
"10144.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10145.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Londonderry","Ireland"
"10146.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Wiltshire","England"
"10147.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10148.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Waterford","Ireland"
"10149.1.4","F","[lead vagrant]",4,"Group Leader","City Vagrant",1785,12,"Cheshire","England"
"10149.2.4","[unknown]","[Child]",4,"Dependent","City Vagrant",1785,12,"Cheshire","England"
"10149.3.4","[unknown]","[Child]",4,"Dependent","City Vagrant",1785,12,"Cheshire","England"
"10149.4.4","[unknown]","[Child]",4,"Dependent","City Vagrant",1785,12,"Cheshire","England"
"1015.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1779,12,"Lancashire","England"
"10150.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"[unknown]","Scotland"
"10151.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Warwickshire","England"
"10152.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10153.1.2","F","[lead vagrant]",2,"Group Leader","Middlesex Vagrant",1785,12,"Cork","Ireland"
"10153.2.2","[unknown]","[Child]",2,"Dependent","Middlesex Vagrant",1785,12,"Cork","Ireland"
"10154.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Gloucestershire","England"
"10155.1.2","M","[lead vagrant]",2,"Group Leader","City Vagrant",1785,12,"Queen's County","Ireland"
"10155.2.2","F","[Wife]",2,"Dependent","City Vagrant",1785,12,"Queen's County","Ireland"
"10156.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Kilkenny","Ireland"
"10157.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Westmeath","Ireland"
"10158.1.2","M","[lead vagrant]",2,"Group Leader","City Vagrant",1785,12,"Warwickshire","England"
"10158.2.2","F","[Wife]",2,"Dependent","City Vagrant",1785,12,"Warwickshire","England"
"10159.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Cardiganshire","Wales"
"1016.1.1","M","[lead vagrant]",1,"Solo Male","Westminster Vagrant",1779,12,"Huntingdonshire","England"
"10160.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10161.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1785,12,"Essex","England"
"10162.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Yorkshire","England"
"10163.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Somerset","England"
"10164.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10165.1.3","F","[lead vagrant]",3,"Group Leader","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10165.2.3","[unknown]","[Child]",3,"Dependent","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10165.3.3","[unknown]","[Child]",3,"Dependent","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10166.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10167.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Cork","Ireland"
"10168.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Westmeath","Ireland"
"10169.1.2","M","[lead vagrant]",2,"Group Leader","Westminster Vagrant",1785,12,"Berkshire","England"
"10169.2.2","F","[Wife]",2,"Dependent","Westminster Vagrant",1785,12,"Berkshire","England"
"1017.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1779,12,"Yorkshire","England"
"10170.1.1","M","[lead vagrant]",1,"Solo Male","Passing Vagrant",1785,12,"Aberdeenshire","Scotland"
"10171.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Kildare","Ireland"
"10172.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1785,12,"Warwickshire","England"
"10173.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Anglesey","Wales"
"10174.1.2","M","[lead vagrant]",2,"Group Leader","City Vagrant",1785,12,"Cork","Ireland"
"10174.2.2","F","[Wife]",2,"Dependent","City Vagrant",1785,12,"Cork","Ireland"
"10175.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Northumberland","England"
"10176.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1785,12,"Anglesey","Wales"
"10177.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Dublin","Ireland"
"10178.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1785,12,"Oxfordshire","England"
"10179.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,12,"Middlesex","England"
"1018.1.2","M","[lead vagrant]",2,"Group Leader","Middlesex Vagrant",1779,12,"Kilkenny","Ireland"
"1018.2.2","F","[Wife]",2,"Dependent","Middlesex Vagrant",1779,12,"Kilkenny","Ireland"
"10180.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10181.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1785,12,"Buckinghamshire","England"
"10182.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1785,12,"Buckinghamshire","England"
"10183.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Wiltshire","England"
"10184.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1785,12,"Cavan","Ireland"
"10185.1.4","M","[lead vagrant]",4,"Group Leader","Middlesex Vagrant",1785,12,"Lancashire","England"
"10185.2.4","F","[Wife]",4,"Dependent","Middlesex Vagrant",1785,12,"Lancashire","England"
